SEASON,Storm_Count
1842.0,65
1845.0,25
1848.0,319
1851.0,801
1852.0,863
1853.0,635
1854.0,670
1855.0,801
1856.0,627
1857.0,777
1858.0,952
1859.0,1325
1860.0,1722
1861.0,1627
1862.0,1197
1863.0,1295
1864.0,995
1865.0,930
1866.0,1132
1867.0,1090
1868.0,848
1869.0,871
1870.0,1510
1871.0,1271
1872.0,1462
1873.0,1168
1874.0,920
1875.0,745
1876.0,989
1877.0,1518
1878.0,1847
1879.0,1538
1880.0,1537
1881.0,1879
1882.0,1557
1883.0,1268
1884.0,2562
1885.0,2477
1886.0,2904
1887.0,3218
1888.0,2277
1889.0,1758
1890.0,1559
1891.0,2637
1892.0,2855
1893.0,2900
1894.0,2213
1895.0,2026
1896.0,2048
1897.0,1732
1898.0,3118
1899.0,2496
1900.0,2386
1901.0,2230
1902.0,2214
1903.0,2786
1904.0,1509
1905.0,2201
1906.0,2437
1907.0,1993
1908.0,2890
1909.0,2742
1910.0,2209
1911.0,3632
1912.0,3346
1913.0,2866
1914.0,1756
1915.0,2505
1916.0,2826
1917.0,2387
1918.0,2799
1919.0,2109
1920.0,2234
1921.0,3250
1922.0,3290
1923.0,3623
1924.0,2362
1925.0,2430
1926.0,3342
1927.0,2785
1928.0,3219
1929.0,2792
1930.0,2715
1931.0,2320
1932.0,3758
1933.0,3798
1934.0,3391
1935.0,4027
1936.0,3168
1937.0,2929
1938.0,3231
1939.0,3970
1940.0,4114
1941.0,3421
1942.0,2806
1943.0,3723
1944.0,3338
1945.0,3804
1946.0,3520
1947.0,3787
1948.0,3386
1949.0,4878
1950.0,5008
1951.0,5205
1952.0,5067
1953.0,4226
1954.0,4273
1955.0,5042
1956.0,5258
1957.0,5022
1958.0,5887
1959.0,5679
1960.0,5748
1961.0,6694
1962.0,5716
1963.0,7142
1964.0,6857
1965.0,6647
1966.0,7110
1967.0,7963
1968.0,7272
1969.0,6121
1970.0,7673
1971.0,8582
1972.0,8476
1973.0,6525
1974.0,7765
1975.0,6452
1976.0,7435
1977.0,5389
1978.0,7617
1979.0,6970
1980.0,6337
1981.0,6495
1982.0,6994
1983.0,5674
1984.0,7392
1985.0,7896
1986.0,6924
1987.0,6257
1988.0,5931
1989.0,7423
1990.0,8090
1991.0,6451
1992.0,8449
1993.0,6993
1994.0,8189
1995.0,6607
1996.0,8496
1997.0,9360
1998.0,6616
1999.0,6298
2000.0,6759
2001.0,5839
2002.0,5873
2003.0,6813
2004.0,6981
2005.0,7160
2006.0,5958
2007.0,5171
2008.0,6219
2009.0,5866
2010.0,5171
2011.0,5610
2012.0,6080
2013.0,6009
2014.0,6217
2015.0,7188
2016.0,6072
2017.0,5681
2018.0,7287
2019.0,7213
2020.0,6230
2021.0,6737
2022.0,6320
2023.0,6468
2024.0,5692
2025.0,5186
2026.0,611
